,date,spread_usd_mwh,evening_lmp_usd_mwh,midday_lmp_usd_mwh,studentized_residual
87,2023-07-27,267.20238,378.59294,111.39056,3.4597267299692605
88,2023-07-28,243.27642,336.29167,93.01526,3.687850236675923
106,2023-08-15,522.65486,618.49489,95.84003,12.54310248432149
107,2023-08-16,841.08491,958.61973,117.53482,28.13858556126179
119,2023-08-28,267.11931,335.91772,68.79841,5.1531633437728095
436,2024-07-10,190.8323,236.69072,45.85841,3.7355926755103184
437,2024-07-11,220.13555,257.14215,37.00659,4.650540230207777
462,2024-08-05,189.68546,244.24243,54.55697,3.8015189229802395
493,2024-09-05,377.81191,425.98369,48.17178,9.624519772661227
494,2024-09-06,163.69422,209.08758,45.39336,3.5679233650906492
